Region,Country,5/1/2020
,Afghanistan,2107.68042
,Albania,736.6793213
,Algeria,3835.565674
,Andorra,888.4796753
,Angola,0
,Antigua and Barbuda,0
,Argentina,4197.959473
,Armenia,1806.59436
Australian Capital Territory,Australia,115.296936
New South Wales,Australia,4638.696289
Northern Territory,Australia,0
Queensland,Australia,1118.181641
South Australia,Australia,470.7660217
Tasmania,Australia,384.2815247
Victoria,Australia,1525.653809
Western Australia,Australia,622.9777832
,Austria,16857.64648
,Azerbaijan,2327.904785
,Bahamas,0
,Bahrain,3947.455811
,Bangladesh,21391.03516
,Barbados,0
,Belarus,16266.69434
,Belgium,76469.35156
,Benin,0
,Bhutan,0
,Bolivia,983.1929321
,Bosnia and Herzegovina,1847.248291
,Brazil,90067.42969
,Brunei,140.1471405
,Bulgaria,1195.818115
,Burkina Faso,792.0795898
,Cabo Verde,3849.369629
,Cambodia,119.5302353
,Cameroon,1345.958984
Alberta,Canada,4143.858398
British Columbia,Canada,1959.443481
Grand Princess,Canada,0
Manitoba,Canada,279.7033997
New Brunswick,Canada,128.5083008
Newfoundland and Labrador,Canada,283.7597656
Nova Scotia,Canada,1089.937378
Ontario,Canada,21994.33984
Prince Edward Island,Canada,0
Quebec,Canada,29558.92383
Saskatchewan,Canada,350.8822021
,Central African Republic,0
,Chad,0
,Chile,17548.50391
Anhui,China,990.6937256
Beijing,China,582.3103638
Chongqing,China,580.7258301
Fujian,China,373.0811157
Gansu,China,140.8782349
Guangdong,China,1643.640137
Guangxi,China,253.8720856
Guizhou,China,144.9494476
Hainan,China,168
Hebei,China,342.7859192
Heilongjiang,China,1046.390747
Henan,China,1274.58252
Hong Kong,China,1084.346069
Hubei,China,67946.39063
Hunan,China,1018.38916
Inner Mongolia,China,371.0285645
Jiangsu,China,666.0116577
Jiangxi,China,938.8623657
Jilin,China,105.4764709
Liaoning,China,146.0632935
Macau,China,0
Ningxia,China,0
Qinghai,China,0
Shaanxi,China,251.8625488
Shandong,China,793.0332031
Shanghai,China,760.0449829
Shanxi,China,211.9764709
Sichuan,China,575.0639648
Tianjin,China,203.6924286
Tibet,China,0
Xinjiang,China,0
Yunnan,China,186.3490753
Zhejiang,China,1285.067505
,Colombia,6708.666504
,Congo (Brazzaville),397.4934692
,Congo (Kinshasa),465.0368958
,Costa Rica,786.4157715
,Cote d'Ivoire,1454.697754
,Croatia,2453.212646
,Diamond Princess,714.5410156
,Cuba,1812.282227
,Cyprus,1214.489014
,Czechia,13016.32813
Faroe Islands,Denmark,185.6266327
Greenland,Denmark,0
,Denmark,8702.681641
,Djibouti,4123.442383
,Dominican Republic,8506.631836
,Ecuador,20959.16406
,Egypt,5931.722168
,El Salvador,355.6584167
,Equatorial Guinea,981.9195557
,Eritrea,0
,Estonia,1850.129395
,Eswatini,0
,Ethiopia,167.0097961
,Fiji,0
,Finland,5115.713379
French Guiana,France,117.8111649
French Polynesia,France,0
Guadeloupe,France,154.6639709
Mayotte,France,365.3745728
New Caledonia,France,0
Reunion,France,454.2067566
Saint Barthelemy,France,0
St Martin,France,0
Martinique,France,174.9435425
,France,271673.5938
,Gabon,251.5688324
,Gambia,0
,Georgia,697.5717773
,Germany,176083.7344
,Ghana,2108.372803
,Greece,3371.129883
,Guatemala,571.6652222
,Guinea,1475.970459
,Guyana,0
,Haiti,0
,Holy See,0
,Honduras,592.4278564
,Hungary,3351.20459
,Iceland,1845.416138
,India,39699.26953
,Indonesia,11495.25195
,Iran,124037.0234
,Iraq,1922.952026
,Ireland,34234.01172
,Israel,24046.3457
,Italy,276514.3125
,Jamaica,485.8089905
,Japan,22247.61914
,Jordan,458.369873
,Kazakhstan,3436.101807
,Kenya,391.5364075
,"Korea, South",13946.08105
,Kuwait,4465.240234
,Kyrgyzstan,937.9289551
,Latvia,838.6964111
,Lebanon,766.7438354
,Liberia,207.4822845
,Liechtenstein,81.64389801
,Lithuania,1631.960449
,Luxembourg,4354.920898
,Madagascar,139.8327942
