Country/Region,Province/State,5/1/2020
Afghanistan,,520.2467041
Albania,,493.9979553
Algeria,,4336.177734
Andorra,,643.1159668
Angola,,0
Antigua and Barbuda,,0
Argentina,,1282.571289
Armenia,,2280.713623
Australia,Australian Capital Territory,115.7355118
Australia,New South Wales,14.29718018
Australia,Northern Territory,0
Australia,Queensland,1696.45166
Australia,South Australia,959.6000977
Australia,Tasmania,0
Australia,Victoria,2244.150879
Australia,Western Australia,513.0498657
Austria,,19405.5625
Azerbaijan,,4549.969238
Bahamas,,0
Bahrain,,1089.261108
Bangladesh,,114.7810593
Barbados,,0
Belarus,,1337.660767
Belgium,,14162.02734
Belize,,0
Benin,,0
Bhutan,,0
Bolivia,,0
Bosnia and Herzegovina,,925.9349365
Brazil,,867931.3125
Brunei,,127.3878632
Bulgaria,,421.6871033
Burkina Faso,,735.0010376
Cabo Verde,,0
Cambodia,,130.0400085
Cameroon,,1199.392212
Canada,,24141.26367
Central African Republic,,0
Chad,,0
Chile,,13074.55664
China,Anhui,991.1843872
China,Beijing,549.6550293
China,Chongqing,569.402832
China,Fujian,342.927002
China,Gansu,146.1186218
China,Guangdong,1568.296997
China,Guangxi,252.4201965
China,Guizhou,144.892334
China,Hainan,159.4008026
China,Hebei,313.7401428
China,Heilongjiang,468.1029053
China,Henan,1236.167603
China,Hong Kong,1169.773071
China,Hubei,62055.71875
China,Hunan,1044.437622
China,Inner Mongolia,111.0285492
China,Jiangsu,656.2836304
China,Jiangxi,951.3685303
China,Jilin,101.844986
China,Liaoning,144.8005981
China,Macau,0
China,Ningxia,0
China,Qinghai,0
China,Shaanxi,252.9477386
China,Shandong,806.4754639
China,Shanghai,612.3927002
China,Shanxi,137.4560852
China,Sichuan,555.2878418
China,Tianjin,180.3565979
China,Tibet,0
China,Xinjiang,0
China,Yunnan,175.6669617
China,Zhejiang,1288.580078
Colombia,,2607.413818
Congo (Brazzaville),,0
Congo (Kinshasa),,0
Costa Rica,,277.6726379
Cote d'Ivoire,,1088.200562
Croatia,,1679.018677
Diamond Princess,,664.4590454
Cuba,,879.7642212
Cyprus,,104.4759674
Czechia,,5862.249023
Denmark,Faroe Islands,202.9272308
Denmark,Greenland,0
Denmark,,8246.686523
Djibouti,,552.0791016
Dominica,,0
Dominican Republic,,1212.726807
Ecuador,,4488.180176
Egypt,,1402.173828
El Salvador,,0
Equatorial Guinea,,0
Eritrea,,0
Estonia,,192.679245
Eswatini,,0
Ethiopia,,0
Fiji,,0
Finland,,2060.018799
France,French Guiana,113.3307114
France,French Polynesia,0
France,Guadeloupe,0
France,Martinique,0
France,Mayotte,304.6691284
France,New Caledonia,0
France,Reunion,1032.753296
France,Saint Barthelemy,0
France,St Martin,0
France,,71641.21875
Gabon,,0
Gambia,,0
Georgia,,139.1903381
Germany,,197160.9219
Ghana,,13.43024063
Grenada,,0
Greece,,330.3332214
Guatemala,,0
Guinea,,988.6864624
Guinea-Bissau,,0
Guyana,,0
Haiti,,0
Holy See,,0
Honduras,,0
Hungary,,431.1901855
Iceland,,2523.296631
India,,10447.17578
Indonesia,,1544.013184
Iran,,140063.7969
Iraq,,2169.0271
Ireland,,1132.473633
Israel,,16417.17188
Italy,,79993.03125
Jamaica,,0
Japan,,1879.85083
Jordan,,436.7539978
Kazakhstan,,2072.056396
Kenya,,158.411438
"Korea, South",,9724.217773
Kuwait,,829.1504517
Kyrgyzstan,,380.1303406
Latvia,,97.98861694
Lebanon,,123.7337723
Liberia,,0
Libya,,0
Liechtenstein,,0
Lithuania,,915.6708984
Luxembourg,,707.84729
Madagascar,,0
Malaysia,,7217.618164
Maldives,,0
Mali,,0
Malta,,530.4402466
Mauritania,,0
Mauritius,,1446.513062
Mexico,,8737.469727
Moldova,,3222.8479
Monaco,,0
Mongolia,,0
Montenegro,,263.3923035
Morocco,,707.4641724
Mozambique,,0
Namibia,,0
Nepal,,0
Netherlands,Aruba,0
Netherlands,Curacao,0
Netherlands,Sint Maarten,0
Netherlands,,0
New Zealand,,2044.099609
Nicaragua,,0
Niger,,269.9714966
Nigeria,,369.0063171
North Macedonia,,851.6795654
Norway,,0
Oman,,424.5683899
Pakistan,,5750.351074
Panama,,1693.114258
Papua New Guinea,,0
Paraguay,,0
Peru,,25526.92969
Philippines,,2442.946289
Poland,,2934.63623
Portugal,,1218.901855
Qatar,,1235.815674
Romania,,4865.012695
Russia,,13469.99121
Rwanda,,942.8327637
Saint Kitts and Nevis,,0
Saint Lucia,,0
Saint Vincent and the Grenadines,,0
San Marino,,0
Saudi Arabia,,2571.061035
Senegal,,330.3592224
Serbia,,4.066697121
Seychelles,,0
Singapore,,1249.185547
Slovakia,,909.3220215
Slovenia,,254.4733124
Somalia,,0
South Africa,,5347.661621
Spain,,177144.8125
Sri Lanka,,171.6085815
Sudan,,0
Suriname,,0
Sweden,,1043.778442
Switzerland,,38590.51563
Syria,,0
Taiwan*,,447.216156
Tanzania,,0
Thailand,,3467.914795
Timor-Leste,,0
Togo,,0
Trinidad and Tobago,,0
Tunisia,,57.41913223
Turkey,,53709.42969
Uganda,,0
Ukraine,,1776.812988
United Arab Emirates,,4107.265625
United Kingdom,Bermuda,0
United Kingdom,Cayman Islands,0
United Kingdom,Channel Islands,257.092926
United Kingdom,Gibraltar,223.5755768
United Kingdom,Isle of Man,589.210022
United Kingdom,Montserrat,0
United Kingdom,,0
Uruguay,,388.6920776
US,,173877.1719
Uzbekistan,,1457.749512
Venezuela,,157.9466095
Vietnam,,294.3884583
Zambia,,0
Zimbabwe,,0
West Bank and Gaza,,85.01077271
Laos,,0
Kosovo,,140.8404388
Burma,,0
United Kingdom,Anguilla,0
United Kingdom,British Virgin Islands,0
United Kingdom,Turks and Caicos Islands,0
MS Zaandam,,0
Botswana,,0
Burundi,,0
Sierra Leone,,0
Netherlands,"Bonaire, Sint Eustatius and Saba",0
Malawi,,0
United Kingdom,Falkland Islands (Malvinas),0
France,Saint Pierre and Miquelon,0
South Sudan,,0
Western Sahara,,0
Sao Tome and Principe,,0
Yemen,,0
